Economy,Code,Region,Income group
Afghanistan,AFG,South Asia,Low income
Albania,ALB,Europe & Central Asia,Upper middle income
Algeria,DZA,Middle East & North Africa,Upper middle income
American Samoa,ASM,East Asia & Pacific,Upper middle income
Andorra,AND,Europe & Central Asia,High income
Angola,AGO,Sub-Saharan Africa,Lower middle income
Antigua and Barbuda,ATG,Latin America & Caribbean,High income
Argentina,ARG,Latin America & Caribbean,Upper middle income
Armenia,ARM,Europe & Central Asia,Upper middle income
Aruba,ABW,Latin America & Caribbean,High income
Australia,AUS,East Asia & Pacific,High income
Austria,AUT,Europe & Central Asia,High income
Azerbaijan,AZE,Europe & Central Asia,Upper middle income
"Bahamas, The",BHS,Latin America & Caribbean,High income
Bahrain,BHR,Middle East & North Africa,High income
Bangladesh,BGD,South Asia,Lower middle income
Barbados,BRB,Latin America & Caribbean,High income
Belarus,BLR,Europe & Central Asia,Upper middle income
Belgium,BEL,Europe & Central Asia,High income
Belize,BLZ,Latin America & Caribbean,Upper middle income
Benin,BEN,Sub-Saharan Africa,Low income
Bermuda,BMU,North America,High income
Bhutan,BTN,South Asia,Lower middle income
Bolivia,BOL,Latin America & Caribbean,Lower middle income
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income
Botswana,BWA,Sub-Saharan Africa,Upper middle income
Brazil,BRA,Latin America & Caribbean,Upper middle income
British Virgin Islands,VGB,Latin America & Caribbean,High income
Brunei Darussalam,BRN,East Asia & Pacific,High income
Bulgaria,BGR,Europe & Central Asia,Upper middle income
Burkina Faso,BFA,Sub-Saharan Africa,Low income
Burundi,BDI,Sub-Saharan Africa,Low income
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income
Cambodia,KHM,East Asia & Pacific,Lower middle income
Cameroon,CMR,Sub-Saharan Africa,Lower middle income
Canada,CAN,North America,High income
Cayman Islands,CYM,Latin America & Caribbean,High income
Central African Republic,CAF,Sub-Saharan Africa,Low income
Chad,TCD,Sub-Saharan Africa,Low income
Channel Islands,CHI,Europe & Central Asia,High income
Chile,CHL,Latin America & Caribbean,High income
China,CHN,East Asia & Pacific,Upper middle income
Colombia,COL,Latin America & Caribbean,Upper middle income
Comoros,COM,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,Latin America & Caribbean,Upper middle income
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income
Croatia,HRV,Europe & Central Asia,High income
Cuba,CUB,Latin America & Caribbean,Upper middle income
Curaçao,CUW,Latin America & Caribbean,High income
Cyprus,CYP,Europe & Central Asia,High income
Czech Republic,CZE,Europe & Central Asia,High income
Denmark,DNK,Europe & Central Asia,High income
Djibouti,DJI,Middle East & North Africa,Lower middle income
Dominica,DMA,Latin America & Caribbean,Upper middle income
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income
Ecuador,ECU,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income
El Salvador,SLV,Latin America & Caribbean,Lower middle income
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income
Eritrea,ERI,Sub-Saharan Africa,Low income
Estonia,EST,Europe & Central Asia,High income
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income
Ethiopia,ETH,Sub-Saharan Africa,Low income
Faroe Islands,FRO,Europe & Central Asia,High income
Fiji,FJI,East Asia & Pacific,Upper middle income
Finland,FIN,Europe & Central Asia,High income
France,FRA,Europe & Central Asia,High income
French Polynesia,PYF,East Asia & Pacific,High income
Gabon,GAB,Sub-Saharan Africa,Upper middle income
"Gambia, The",GMB,Sub-Saharan Africa,Low income
Georgia,GEO,Europe & Central Asia,Upper middle income
Germany,DEU,Europe & Central Asia,High income
Ghana,GHA,Sub-Saharan Africa,Lower middle income
Gibraltar,GIB,Europe & Central Asia,High income
Greece,GRC,Europe & Central Asia,High income
Greenland,GRL,Europe & Central Asia,High income
Grenada,GRD,Latin America & Caribbean,Upper middle income
Guam,GUM,East Asia & Pacific,High income
Guatemala,GTM,Latin America & Caribbean,Upper middle income
Guinea,GIN,Sub-Saharan Africa,Low income
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income
Guyana,GUY,Latin America & Caribbean,Upper middle income
Haiti,HTI,Latin America & Caribbean,Low income
Honduras,HND,Latin America & Caribbean,Lower middle income
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income
Hungary,HUN,Europe & Central Asia,High income
Iceland,ISL,Europe & Central Asia,High income
India,IND,South Asia,Lower middle income
Indonesia,IDN,East Asia & Pacific,Lower middle income
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income
Iraq,IRQ,Middle East & North Africa,Upper middle income
Ireland,IRL,Europe & Central Asia,High income
Isle of Man,IMN,Europe & Central Asia,High income
Israel,ISR,Middle East & North Africa,High income
Italy,ITA,Europe & Central Asia,High income
Jamaica,JAM,Latin America & Caribbean,Upper middle income
Japan,JPN,East Asia & Pacific,High income
Jordan,JOR,Middle East & North Africa,Upper middle income
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income
Kenya,KEN,Sub-Saharan Africa,Lower middle income
Kiribati,KIR,East Asia & Pacific,Lower middle income
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income
"Korea, Rep.",KOR,East Asia & Pacific,High income
Kosovo,XKX,Europe & Central Asia,Upper middle income
Kuwait,KWT,Middle East & North Africa,High income
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income
Lao PDR,LAO,East Asia & Pacific,Lower middle income
Latvia,LVA,Europe & Central Asia,High income
Lebanon,LBN,Middle East & North Africa,Upper middle income
Lesotho,LSO,Sub-Saharan Africa,Lower middle income
Liberia,LBR,Sub-Saharan Africa,Low income
Libya,LBY,Middle East & North Africa,Upper middle income
Liechtenstein,LIE,Europe & Central Asia,High income
Lithuania,LTU,Europe & Central Asia,High income
Luxembourg,LUX,Europe & Central Asia,High income
"Macao SAR, China",MAC,East Asia & Pacific,High income
Madagascar,MDG,Sub-Saharan Africa,Low income
