Monfreda2008,harvestedAreaFAO,Group1,Group2,Calories,Protein,Fat,Considerations1,Considerations2,Considerations3,FoodGroup,GrowthLength,GrowthStructure
abaca,Manila fibre (abaca),abaca,abaca,NA,NA,NA,,,,fiber,perennial,shrub
agave,Agave fibres nes,agave,agave,NA,NA,NA,,,,fiber,perennial,shrub
alfalfa,NA,NA,NA,NA,NA,NA,,,,forage,perennial,herbaceous
almond,"Almonds, with shell",almond,almond,2360000,80000,209000,,,,tree nuts,perennial,tree
aniseetc,"Anise, badian, fennel, coriander",aniseetc,aniseetc,3450000,158000,149000,,,,other,annual,herbaceous
apple,Apples,apple,apple,480000,1000,3000,,,,fruit,perennial,tree
apricot,Apricots,apricot,apricot,450000,13000,4000,,,,fruit,perennial,tree
areca,Areca nuts,areca,areca,2450000,49000,44000,,,,other,perennial,tree
artichoke,Artichokes,artichoke,artichoke,200000,11000,1000,,,,vegetables and melons,annual,herbaceous
asparagus,Asparagus,asparagus,asparagus,120000,16000,1000,,,,vegetables and melons,annual,herbaceous
avocado,Avocados,avocado,avocado,1190000,15000,113000,,,,fruit,perennial,tree
bambara,Bambara beans,bambara,bambara,3650000,177000,63000,,,,pulses,annual,herbaceous
banana,Bananas,banana,banana,600000,7000,3000,,,,fruit,perennial,shrub
barley,Barley,barley,barley,3320000,110000,18000,,,,cereals,annual,herbaceous
bean,"Beans, dry",bean,NA,NA,NA,NA,"multiple species, discrimination not possible",Avoid double counting,,pulses,annual,herbaceous
beetfor,NA,sugarbeet,sugarbeet,NA,NA,NA,Same species,,,forage,annual,herbaceous
berrynes,Berries nes,berrynes,berrynes,NA,NA,NA,,,,fruit,perennial,shrub
blueberry,Blueberries,blueberry,blueberry,550000,7000,4000,,,,fruit,perennial,shrub
brazil,"Brazil nuts, with shell",brazil,brazil,3150000,69000,318000,,,,tree nuts,perennial,tree
broadbean,"Broad beans, horse beans, dry",broadbean,broadbean,230000,23000,1000,,,,pulses,annual,herbaceous
buckwheat,Buckwheat,buckwheat,buckwheat,3300000,110000,20000,,,,cereals,annual,herbaceous
cabbage,Cabbages and other brassicas,cabbage,cabbage,190000,10000,1000,,,,vegetables and melons,annual,herbaceous
cabbagefor,NA,cabbage,NA,NA,NA,NA,"multiple species, discrimination not possible",Avoid double counting,,forage,annual,herbaceous
canaryseed,Canary seed,canaryseed,canaryseed,3880000,160000,60000,,,,cereals,annual,herbaceous
carob,Carobs,carob,carob,1110000,16000,5000,,,,fruit,perennial,tree
carrot,Carrots and turnips,carrot,carrot,380000,9000,2000,,,,vegetables and melons,annual,herbaceous
carrotfor,NA,carrot,NA,NA,NA,NA,Same species,Avoid double counting,,forage,annual,herbaceous
cashew,"Cashew nuts, with shell",cashew,cashew,2520000,77000,206000,,,,tree nuts,perennial,tree
cashewapple,Cashewapple,cashew,NA,430000,8000,6000,Same species,Avoid double counting,,fruit,perennial,tree
cassava,Cassava,cassava,cassava,1090000,9000,2000,,,,roots and tubers,annual,herbaceous
castor,Castor oil seed,castor,castor,8840000,0,1000000,,,,oil crops,annual,herbaceous
cauliflower,Cauliflowers and broccoli,cauliflower,cauliflower,90000,8000,1000,,,,vegetables and melons,annual,herbaceous
cerealnes,"Cereals, nes",cerealnes,cerealnes,3400000,80000,15000,,,,cereals,annual,herbaceous
cherry,Cherries,cherry,cherry,650000,11000,9000,,,,fruit,perennial,tree
chestnut,Chestnut,chestnut,chestnut,1580000,18000,17000,,,,tree nuts,perennial,tree
chickpea,Chick peas,chickpea,chickpea,3580000,201000,45000,,,,pulses,annual,herbaceous
chicory,Chicory roots,chicory,chicory,600000,11000,2000,,,,other,annual,herbaceous
chilleetc,"Chillies and peppers, dry",chilleetc,NA,NA,NA,NA,Same species,Avoid double counting,,vegetables and melons,annual,herbaceous
cinnamon,Cinnamon (canella),cinnamon,cinnamon,2610000,39000,32000,,,,other,perennial,tree
citrusnes,"Fruit, citrus nes",citrusnes,citrusnes,260000,5000,2000,,,,fruit,perennial,tree
clove,Cloves,clove,clove,3230000,60000,201000,,,,other,perennial,tree
clover,NA,NA,NA,NA,NA,NA,,,,forage,perennial,herbaceous
cocoa,"Cocoa, beans",cocoa,cocoa,4140000,40000,400000,,,,other,perennial,shrub
coconut,Coconuts,coconut,coconut,1840000,17000,174000,,,,oil crops,perennial,tree
coffee,"Coffee, green",coffee,coffee,470000,67000,0,,,,other,perennial,shrub
coir,NA,coconut,NA,NA,NA,NA,Same species,Avoid double counting,,NA,NA,NA
cotton,Seed cotton,cotton,cotton,2530000,173000,179000,,,,fiber,annual,herbaceous
