SCODE,CCODE,COUNTRY,YEAR,ACTOTAL
AFG,700,Afghanistan,1946,0
AFG,700,Afghanistan,1947,0
AFG,700,Afghanistan,1948,0
AFG,700,Afghanistan,1949,0
AFG,700,Afghanistan,1950,0
AFG,700,Afghanistan,1951,0
AFG,700,Afghanistan,1952,0
AFG,700,Afghanistan,1953,0
AFG,700,Afghanistan,1954,0
AFG,700,Afghanistan,1955,0
AFG,700,Afghanistan,1956,0
AFG,700,Afghanistan,1957,0
AFG,700,Afghanistan,1958,0
AFG,700,Afghanistan,1959,0
AFG,700,Afghanistan,1960,0
AFG,700,Afghanistan,1961,0
AFG,700,Afghanistan,1962,0
AFG,700,Afghanistan,1963,0
AFG,700,Afghanistan,1964,0
AFG,700,Afghanistan,1965,0
AFG,700,Afghanistan,1966,0
AFG,700,Afghanistan,1967,0
AFG,700,Afghanistan,1968,0
AFG,700,Afghanistan,1969,0
AFG,700,Afghanistan,1970,0
AFG,700,Afghanistan,1971,0
AFG,700,Afghanistan,1972,0
AFG,700,Afghanistan,1973,0
AFG,700,Afghanistan,1974,0
AFG,700,Afghanistan,1975,0
AFG,700,Afghanistan,1976,0
AFG,700,Afghanistan,1977,0
AFG,700,Afghanistan,1978,7
AFG,700,Afghanistan,1979,7
AFG,700,Afghanistan,1980,7
AFG,700,Afghanistan,1981,7
AFG,700,Afghanistan,1982,7
AFG,700,Afghanistan,1983,7
AFG,700,Afghanistan,1984,7
AFG,700,Afghanistan,1985,7
AFG,700,Afghanistan,1986,7
AFG,700,Afghanistan,1987,7
AFG,700,Afghanistan,1988,7
AFG,700,Afghanistan,1989,7
AFG,700,Afghanistan,1990,7
AFG,700,Afghanistan,1991,7
AFG,700,Afghanistan,1992,7
AFG,700,Afghanistan,1993,7
AFG,700,Afghanistan,1994,7
AFG,700,Afghanistan,1995,7
AFG,700,Afghanistan,1996,7
AFG,700,Afghanistan,1997,7
AFG,700,Afghanistan,1998,7
AFG,700,Afghanistan,1999,7
AFG,700,Afghanistan,2000,7
AFG,700,Afghanistan,2001,10
AFG,700,Afghanistan,2002,3
AFG,700,Afghanistan,2003,3
AFG,700,Afghanistan,2004,3
AFG,700,Afghanistan,2005,3
AFG,700,Afghanistan,2006,3
AFG,700,Afghanistan,2007,3
AFG,700,Afghanistan,2008,3
AFG,700,Afghanistan,2009,3
AFG,700,Afghanistan,2010,3
AFG,700,Afghanistan,2011,3
AFG,700,Afghanistan,2012,3
ALB,339,Albania,1946,0
ALB,339,Albania,1947,0
ALB,339,Albania,1948,0
ALB,339,Albania,1949,0
ALB,339,Albania,1950,0
ALB,339,Albania,1951,0
ALB,339,Albania,1952,0
ALB,339,Albania,1953,0
ALB,339,Albania,1954,0
ALB,339,Albania,1955,0
ALB,339,Albania,1956,0
ALB,339,Albania,1957,0
ALB,339,Albania,1958,0
ALB,339,Albania,1959,0
ALB,339,Albania,1960,0
ALB,339,Albania,1961,0
ALB,339,Albania,1962,0
ALB,339,Albania,1963,0
ALB,339,Albania,1964,0
ALB,339,Albania,1965,0
ALB,339,Albania,1966,0
ALB,339,Albania,1967,0
ALB,339,Albania,1968,0
ALB,339,Albania,1969,0
ALB,339,Albania,1970,0
ALB,339,Albania,1971,0
ALB,339,Albania,1972,0
ALB,339,Albania,1973,0
ALB,339,Albania,1974,0
ALB,339,Albania,1975,0
ALB,339,Albania,1976,0
ALB,339,Albania,1977,0
ALB,339,Albania,1978,0
ALB,339,Albania,1979,0
ALB,339,Albania,1980,0
ALB,339,Albania,1981,0
ALB,339,Albania,1982,0
ALB,339,Albania,1983,0
ALB,339,Albania,1984,0
ALB,339,Albania,1985,0
ALB,339,Albania,1986,0
ALB,339,Albania,1987,0
ALB,339,Albania,1988,0
ALB,339,Albania,1989,0
ALB,339,Albania,1990,0
ALB,339,Albania,1991,0
ALB,339,Albania,1992,0
ALB,339,Albania,1993,0
ALB,339,Albania,1994,0
ALB,339,Albania,1995,0
ALB,339,Albania,1996,0
ALB,339,Albania,1997,2
ALB,339,Albania,1998,0
ALB,339,Albania,1999,0
ALB,339,Albania,2000,0
ALB,339,Albania,2001,0
ALB,339,Albania,2002,0
ALB,339,Albania,2003,0
ALB,339,Albania,2004,0
ALB,339,Albania,2005,0
ALB,339,Albania,2006,0
ALB,339,Albania,2007,0
ALB,339,Albania,2008,0
ALB,339,Albania,2009,0
ALB,339,Albania,2010,0
ALB,339,Albania,2011,0
ALB,339,Albania,2012,0
ALG,615,Algeria,1946,
ALG,615,Algeria,1947,
ALG,615,Algeria,1954,
ALG,615,Algeria,1955,
ALG,615,Algeria,1956,
ALG,615,Algeria,1957,
ALG,615,Algeria,1958,
ALG,615,Algeria,1959,
ALG,615,Algeria,1960,
ALG,615,Algeria,1961,
ALG,615,Algeria,1962,1
ALG,615,Algeria,1963,2
ALG,615,Algeria,1964,1
ALG,615,Algeria,1965,0
ALG,615,Algeria,1966,0
ALG,615,Algeria,1967,0
ALG,615,Algeria,1968,0
ALG,615,Algeria,1969,0
ALG,615,Algeria,1970,0
